artifact_id,payload_sha256,sequence,entry_id,label,taxonomy,unit,period_start,period_end,prior_value,prior_accepted_at,prior_accession,later_value,later_accepted_at,later_accession,delta,absolute_delta,relative_delta,sign_changed,classification,classification_authority,rounding_gate,research_release_scope,first_included_release_id,interpretation,prior_filing_url,later_filing_url
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,1,revenue-h1-2025,Revenue,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-01-01,2025-06-30,2194420000,2025-08-12T22:18:48Z,0001769628-25-000041,2194000000,2026-08-11T23:24:42Z,0001769628-26-000366,-420000,420000,-0.00019139453705307096,false,rounding-compatible,automatic-rule,pass,carried-forward,crwv-memory-2026-08-29-v1,The $0.42 million difference is compatible with the later filing’s million-dollar presentation. It is not labeled here as a restatement.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,2,operating-cash-flow-h1-2025,Operating cash flow,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2025-01-01,2025-06-30,-190083000,2025-08-12T22:18:48Z,0001769628-25-000041,-190000000,2026-08-11T23:24:42Z,0001769628-26-000366,83000,83000,0.00043665135756485325,false,rounding-compatible,automatic-rule,pass,carried-forward,crwv-memory-2026-08-29-v1,The later comparative value is consistent with rounding the first-reported value to the nearest million.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,3,capex-h1-2025,Purchases of property and equipment,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,USD,2025-01-01,2025-06-30,3860351000,2025-08-12T22:18:48Z,0001769628-25-000041,3860000000,2026-08-11T23:24:42Z,0001769628-26-000366,-351000,351000,-0.00009092437449340746,false,rounding-compatible,automatic-rule,pass,carried-forward,crwv-memory-2026-08-29-v1,The $0.351 million difference is compatible with the later filing’s million-dollar presentation.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,4,sbc-h1-2025,Stock-based compensation,us-gaap:ShareBasedCompensation,USD,2025-01-01,2025-06-30,328978000,2025-08-12T22:18:48Z,0001769628-25-000041,329000000,2026-08-11T23:24:42Z,0001769628-26-000366,22000,22000,0.00006687377271428485,false,rounding-compatible,automatic-rule,pass,carried-forward,crwv-memory-2026-08-29-v1,The later filing presents the same period at lower precision; the difference is $0.022 million.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,5,diluted-shares-h1-2025,Diluted weighted-average shares,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,shares,2025-01-01,2025-06-30,368607000,2025-08-12T22:18:48Z,0001769628-25-000041,369000000,2026-08-11T23:24:42Z,0001769628-26-000366,393000,393000,0.0010661761713695074,false,rounding-compatible,automatic-rule,pass,carried-forward,crwv-memory-2026-08-29-v1,The later filing rounds the weighted-average share count to the nearest million shares.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,6,ipo-proceeds-h1-2025,"IPO proceeds, net of underwriting discounts and commissions",us-gaap:ProceedsFromIssuanceInitialPublicOffering,USD,2025-01-01,2025-06-30,1422619000,2025-08-12T22:18:48Z,0001769628-25-000041,1491000000,2026-08-11T23:24:42Z,0001769628-26-000366,68381000,68381000,0.0480669806884345,false,presentation-change,human-reviewed,fail,carried-forward,crwv-memory-2026-08-29-v1,The $68.381 million increase is larger than a rounding effect. The later filing is the source for the changed comparative amount; this record does not infer a formal restatement.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,7,debt-proceeds-h1-2025,Proceeds from issuance of debt,us-gaap:ProceedsFromIssuanceOfLongTermDebt,USD,2025-01-01,2025-06-30,4432723000,2025-08-12T22:18:48Z,0001769628-25-000041,4396000000,2026-08-11T23:24:42Z,0001769628-26-000366,-36723000,36723000,-0.008284523982211385,false,presentation-change,human-reviewed,fail,carried-forward,crwv-memory-2026-08-29-v1,The later comparative amount is $36.723 million lower and its filing label adds “net.” Treat the two values as separate filed versions.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,8,other-investing-h1-2025,Other investing activities,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,USD,2025-01-01,2025-06-30,26109000,2025-08-12T22:18:48Z,0001769628-25-000041,-6000000,2026-08-11T23:24:42Z,0001769628-26-000366,-32109000,32109000,-1.2298058140870964,true,presentation-change,human-reviewed,fail,carried-forward,crwv-memory-2026-08-29-v1,The XBRL value changes from positive $26.109 million to negative $6 million. The two accessions are preserved because the sign and amount both changed.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,9,cost-of-revenue-2025-01-01-2025-06-30,Cost of revenue,us-gaap:CostOfGoodsAndServicesSold,USD,2025-01-01,2025-06-30,575061000,2025-08-12T22:18:48.000Z,0001769628-25-000041,575000000,2026-08-11T23:24:42.000Z,0001769628-26-000366,-61000,61000,-0.00010607570327321797,false,rounding-compatible,automatic-rule,pass,added-in-v2,crwv-memory-2026-08-29-v2,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
crwv-revision-ledger-2026-q2-v1,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,10,cost-of-revenue-2025-04-01-2025-06-30,Cost of revenue,us-gaap:CostOfGoodsAndServicesSold,USD,2025-04-01,2025-06-30,312667000,2025-08-12T22:18:48.000Z,0001769628-25-000041,313000000,2026-08-11T23:24:42.000Z,0001769628-26-000366,333000,333000,0.0010650308475150879,false,rounding-compatible,automatic-rule,pass,added-in-v2,crwv-memory-2026-08-29-v2,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.,https://www.sec.gov/Archives/edgar/data/1769628/000176962825000041/crwv-20250630.htm,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000366/crwv-20260630.htm
