corpus_id,event_id,event_kind,issuer_id,company,ticker,cik,metric_id,metric_label,taxonomy,unit,period_start,period_end,prior_value,later_value,delta,value_changed,sign_changed,classification,prior_accepted_at,later_accepted_at,prior_accession,later_accession,prior_form,later_form,prior_source_role,later_source_role,source_artifact_id,source_entry_id,source_artifact_payload_sha256,related_benchmark_case_ids,interpretation
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-001,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,revenue-h1-2025,Revenue,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-01-01,2025-06-30,2194420000,2194000000,-420000,true,false,rounding-compatible,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,revenue-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The $0.42 million difference is compatible with the later filing’s million-dollar presentation. It is not labeled here as a restatement.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-002,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,operating-cash-flow-h1-2025,Operating cash flow,us-gaap:NetCashProvidedByUsedInOperatingActivities,USD,2025-01-01,2025-06-30,-190083000,-190000000,83000,true,false,rounding-compatible,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,operating-cash-flow-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The later comparative value is consistent with rounding the first-reported value to the nearest million.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-003,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,capex-h1-2025,Purchases of property and equipment,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,USD,2025-01-01,2025-06-30,3860351000,3860000000,-351000,true,false,rounding-compatible,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,capex-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The $0.351 million difference is compatible with the later filing’s million-dollar presentation.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-004,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,sbc-h1-2025,Stock-based compensation,us-gaap:ShareBasedCompensation,USD,2025-01-01,2025-06-30,328978000,329000000,22000,true,false,rounding-compatible,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,sbc-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The later filing presents the same period at lower precision; the difference is $0.022 million.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-005,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,diluted-shares-h1-2025,Diluted weighted-average shares,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,shares,2025-01-01,2025-06-30,368607000,369000000,393000,true,false,rounding-compatible,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,diluted-shares-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The later filing rounds the weighted-average share count to the nearest million shares.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-006,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,ipo-proceeds-h1-2025,"IPO proceeds, net of underwriting discounts and commissions",us-gaap:ProceedsFromIssuanceInitialPublicOffering,USD,2025-01-01,2025-06-30,1422619000,1491000000,68381000,true,false,presentation-change,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,ipo-proceeds-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The $68.381 million increase is larger than a rounding effect. The later filing is the source for the changed comparative amount; this record does not infer a formal restatement.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-007,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,debt-proceeds-h1-2025,Proceeds from issuance of debt,us-gaap:ProceedsFromIssuanceOfLongTermDebt,USD,2025-01-01,2025-06-30,4432723000,4396000000,-36723000,true,false,presentation-change,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,debt-proceeds-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,The later comparative amount is $36.723 million lower and its filing label adds “net.” Treat the two values as separate filed versions.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-008,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,other-investing-h1-2025,Other investing activities,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,USD,2025-01-01,2025-06-30,26109000,-6000000,-32109000,true,true,presentation-change,2025-08-12T22:18:48Z,2026-08-11T23:24:42Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,other-investing-h1-2025,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,AS-PIT-002,The XBRL value changes from positive $26.109 million to negative $6 million. The two accessions are preserved because the sign and amount both changed.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-009,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,cost-of-revenue-2025-01-01-2025-06-30,Cost of revenue,us-gaap:CostOfGoodsAndServicesSold,USD,2025-01-01,2025-06-30,575061000,575000000,-61000,true,false,rounding-compatible,2025-08-12T22:18:48.000Z,2026-08-11T23:24:42.000Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,cost-of-revenue-2025-01-01-2025-06-30,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-010,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,cost-of-revenue-2025-04-01-2025-06-30,Cost of revenue,us-gaap:CostOfGoodsAndServicesSold,USD,2025-04-01,2025-06-30,312667000,313000000,333000,true,false,rounding-compatible,2025-08-12T22:18:48.000Z,2026-08-11T23:24:42.000Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,cost-of-revenue-2025-04-01-2025-06-30,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-011,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,operating-income-loss-2025-01-01-2025-06-30,Operating income (loss),us-gaap:OperatingIncomeLoss,USD,2025-01-01,2025-06-30,-8261000,-8000000,261000,true,false,rounding-compatible,2025-08-12T22:18:48.000Z,2026-08-11T23:24:42.000Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,operating-income-loss-2025-01-01-2025-06-30,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-012,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,operating-income-loss-2025-04-01-2025-06-30,Operating income (loss),us-gaap:OperatingIncomeLoss,USD,2025-04-01,2025-06-30,19209000,19000000,-209000,true,false,rounding-compatible,2025-08-12T22:18:48.000Z,2026-08-11T23:24:42.000Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,operating-income-loss-2025-04-01-2025-06-30,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-013,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,revenue-2025-04-01-2025-06-30,Revenue,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,USD,2025-04-01,2025-06-30,1212788000,1212000000,-788000,true,false,presentation-change,2025-08-12T22:18:48.000Z,2026-08-11T23:24:42.000Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,revenue-2025-04-01-2025-06-30,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,AS-PIT-001,"The later filing presents $1,212 million for the quarter first reported as $1,212.788 million. The difference exceeds standard nearest-million rounding. The issuer says some prior-period amounts may differ by insignificant amounts after changing presentation from thousands to millions; this record preserves both versions and does not infer a formal restatement."
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-CRWV-014,issuer-comparative-value-difference,coreweave,"CoreWeave, Inc.",CRWV,0001769628,diluted-weighted-average-shares-2025-04-01-2025-06-30,Diluted weighted-average shares,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,shares,2025-04-01,2025-06-30,486591000,487000000,409000,true,false,rounding-compatible,2025-08-12T22:18:48.000Z,2026-08-11T23:24:42.000Z,0001769628-25-000041,0001769628-26-000366,10-Q,10-Q,first-reported,later-comparative,crwv-revision-ledger-2026-q2-v1,diluted-weighted-average-shares-2025-04-01-2025-06-30,16e2faa2f12baaa3e9c868cda2c0d1659e2bce3e4d17a427327ca07e8da89064,,Difference is within $0.5 million (or 0.5 million shares) and the later value is presented at million precision.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-SMCI-001,research-release-source-upgrade,super-micro,"Super Micro Computer, Inc.",SMCI,0001375365,revenueGrowth,Quarterly revenue growth,,ratio,,2026-06-30,0.931552702482286,0.931552702482286,0,false,false,source-upgraded,2026-08-11T20:06:16.000Z,2026-08-31T14:21:23.000Z,0001375365-26-000021,0001375365-26-000022,8-K exhibit,10-K,preliminary,filed,ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1,super-micro:revenueGrowth,ee7bc609915a2be3767216d39f1f32dde392f2c60928ba36af75828c92213d75,AS-PIT-003|AS-PIT-004,The value is unchanged. Its provenance moved from C to A as annual and nine-month filed facts replaced the preliminary exhibit as the reconstruction path.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-SMCI-002,research-release-source-upgrade,super-micro,"Super Micro Computer, Inc.",SMCI,0001375365,grossMargin,Quarterly gross margin,,ratio,,2026-06-30,0.17470053581110484,0.17470053581110484,0,false,false,source-upgraded,2026-08-11T20:06:16.000Z,2026-08-31T14:21:23.000Z,0001375365-26-000021,0001375365-26-000022,8-K exhibit,10-K,preliminary,filed,ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1,super-micro:grossMargin,ee7bc609915a2be3767216d39f1f32dde392f2c60928ba36af75828c92213d75,AS-PIT-003,The value is unchanged. Its provenance moved from C to A as annual and nine-month filed facts replaced the preliminary exhibit as the reconstruction path.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-SMCI-003,research-release-source-upgrade,super-micro,"Super Micro Computer, Inc.",SMCI,0001375365,rdIntensity,Quarterly R&D intensity,,ratio,,2026-06-30,0.018120687132484763,0.018120687132484763,0,false,false,source-upgraded,2026-08-11T20:06:16.000Z,2026-08-31T14:21:23.000Z,0001375365-26-000021,0001375365-26-000022,8-K exhibit,10-K,preliminary,filed,ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1,super-micro:rdIntensity,ee7bc609915a2be3767216d39f1f32dde392f2c60928ba36af75828c92213d75,AS-PIT-003,The value is unchanged. Its provenance moved from C to A as annual and nine-month filed facts replaced the preliminary exhibit as the reconstruction path.
ai-infrastructure-filing-revision-event-corpus-2026-09-03-v1,REV-SMCI-004,research-release-source-upgrade,super-micro,"Super Micro Computer, Inc.",SMCI,0001375365,dilutedShareChange,Diluted share change,,ratio,,2026-06-30,0.12859569277267546,0.12859569277267546,0,false,false,source-upgraded,2026-08-11T20:06:16.000Z,2026-08-31T14:21:23.000Z,0001375365-26-000021,0001375365-26-000022,8-K exhibit,10-K,preliminary,filed,ai-infrastructure-cross-section-v1-to-v2-2026-09-01-v1,super-micro:dilutedShareChange,ee7bc609915a2be3767216d39f1f32dde392f2c60928ba36af75828c92213d75,AS-PIT-003,"The value and underlying earnings exhibit are unchanged. The completed filing admits the issuer to the primary matrix, while this cell remains tied to the earlier exhibit and therefore stays below Tier A."
